,Date,BOD,AmNi,Chla,DO,Ecoli,FC,NitraNi,NitriNi,OrPh,pH,Sal,SDD,Si,SS,Temp,TIN,TKN,ToNi,ToPh,Tur,UnAm,VSS,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,Image_Year
715,2017-02-04,0.4,0.22,0.7,6.1,54,110.0,0.18,0.03,0.03,7.8,30.6,3.0,1.1,4.6,18.8,0.43,0.41,0.62,0.08,4.7,0.0005,0.7,0.0306608095442903,0.0410643170401156,0.0477115731719597,0.0116184776832963,0.0051172450650639,-0.0004437646040757,0.0001454558574696,-0.0002293694178379,-0.0004637944343868,0.0028099341726815,2017
716,2017-02-04,0.5,0.17,0.9,6.1,40,59.0,0.18,0.03,0.01,7.8,30.6,2.5,1.2,6.3,18.9,0.38,0.4,0.61,0.04,5.1,0.0005,0.8,0.0335416422738569,0.0455306727151648,0.0487895108945091,0.0132116644021442,0.0074077035136236,0.0021084300536821,0.0022031616365245,0.0003392183282677,-0.0001076740480435,0.0035206637177311,2017
717,2017-02-04,0.6,0.16,1.6,6.1,62,110.0,0.15,0.03,0.02,7.7,30.9,3.0,1.2,3.0,18.6,0.34,0.36,0.54,0.03,4.1,0.0005,0.6,0.0334570990086521,0.0444131219723383,0.0454757684688272,0.0084743837172499,0.0022489379972049,-0.0031013993182505,-0.0028359057696771,-0.0044227788403473,-0.0043349697691188,-0.0013076915671027,2017
718,2017-02-04,0.5,0.2,0.5,5.4,590,2100.0,0.18,0.03,0.02,7.7,30.4,2.5,1.2,6.8,19.1,0.41,0.42,0.63,0.04,5.8,0.0005,1.1,0.027655823653114,0.039061213692814,0.0449979019250264,0.013393632154823,0.0068059368979703,0.0002136167208845,0.0011446252232759,-0.0007593705756495,-0.0038100603398616,-4.390585154143647e-05,2017
719,2017-02-04,0.5,0.2,0.2,5.8,36,88.0,0.17,0.03,0.02,7.8,30.4,2.5,1.2,4.4,18.8,0.4,0.5,0.7,0.04,5.6,0.0005,0.8,0.0301034059620245,0.0432186024317551,0.0486536080171252,0.0134622889478578,0.0080326458042925,0.0028853541531624,0.003508681650564,0.0015020827982205,-0.000214917907505,0.0035680075274008,2017
720,2017-02-04,0.3,0.18,1.4,5.9,18,36.0,0.16,0.03,0.02,7.7,30.6,2.5,1.1,3.6,18.9,0.37,0.42,0.61,0.04,4.2,0.0005,0.6,0.0298198396147043,0.0404507241415448,0.0418448078202196,0.0066857703376694,0.0007480002116633,-0.0049456313572487,-0.0040783470835491,-0.0052454684958965,-0.0042941324137272,-0.000306487654828,2017
788,2017-02-14,0.5,0.01,1.3,7.7,1,1.0,0.15,0.02,0.02,7.9,31.1,4.1,1.3,6.7,16.9,0.18,0.19,0.36,0.05,5.9,0.0005,1.3,0.0124758911819428,0.0182869167889856,0.0171509317552934,0.0019600531883679,0.0018916973717522,0.0015152348362862,0.0018270573506383,0.0021915935776508,-0.0005368020024267,0.0047004954836404,2017
789,2017-02-14,0.9,0.02,0.8,6.9,1,1.0,0.07,0.01,0.01,7.9,31.1,3.0,1.2,7.1,17.2,0.1,0.64,0.72,0.05,2.8,0.0005,1.4,0.0106244195796368,0.0203288632604787,0.0208108685132826,-0.0002238301906024,0.0001378247893496,0.0041091384159807,0.0054313072880453,0.0046109746717849,-0.0027786008106175,0.0004886260237321,2017
790,2017-02-14,0.7,0.02,1.0,7.5,1,1.0,0.07,0.01,0.01,7.9,31.1,3.1,1.1,6.4,17.4,0.11,0.5,0.58,0.03,5.5,0.0005,1.4,0.0046118042382064,0.0075072073282572,0.0033825750763621,-0.0010408009051148,-0.0020325961123963,0.000983336838748,0.0011592568877863,8.49731375419011e-05,-0.0016991264369072,0.0034231461966891,2017
791,2017-02-14,0.9,0.03,1.3,7.5,3,12.0,0.05,0.01,0.01,7.8,30.9,3.0,1.1,7.6,17.4,0.09,0.72,0.78,0.05,3.8,0.0005,1.6,0.0104534953414617,0.0172271729797843,0.01723954419201,0.0005066456163661,7.433864112778907e-05,0.0028200491913288,0.0044047261462326,0.0020468885830582,-0.0034822069371187,8.798227179580461e-05,2017
792,2017-02-14,0.4,0.02,1.9,6.3,1,2.0,0.18,0.03,0.02,7.8,31.2,3.0,1.3,6.2,16.9,0.22,0.36,0.57,0.03,5.5,0.0005,1.0,0.0396260569117682,0.0526013441771937,0.0597312724302931,0.0209295988224711,0.0118309321762312,0.0013458461423799,0.0014669308179869,-0.0013390338877151,-0.0013520940727928,0.0025018865302057,2017
793,2017-02-14,0.8,0.03,1.9,6.9,2,3.0,0.05,0.01,0.01,7.9,31.0,3.2,1.1,6.2,17.3,0.09,0.32,0.37,0.03,2.7,0.0005,1.6,0.0123498900497881,0.0201186040651481,0.020082554969716,0.0013363849219829,0.0012375872474586,0.0047550918158597,0.0057924436451107,0.0052296356150383,-0.0030212098321323,0.0008783010945383,2017
794,2017-02-14,0.7,0.02,0.7,7.7,1,1.0,0.12,0.02,0.01,7.9,31.1,5.7,1.2,7.2,17.1,0.15,0.44,0.58,0.03,2.2,0.0005,2.0,0.0086850670877134,0.0134392713399982,0.0085206761733239,0.0002585691597213,-0.0009755652339197,-0.0004995339661758,0.0001935017203894,-0.001299316457897,-0.0021947135362951,0.0016213983861634,2017
795,2017-02-14,0.7,0.01,1.0,6.3,1,3.0,0.2,0.02,0.02,7.8,31.1,3.0,1.4,4.8,16.9,0.23,0.42,0.64,0.05,5.4,0.0005,1.2,0.041507919901335,0.0565384360388406,0.0626720805138409,0.0208033435498775,0.0114677773547688,0.001356282112836,0.0017218680000216,-0.0002035891634872,-0.0018693538517813,0.0029577582840485,2017
796,2017-02-14,0.3,0.01,1.2,6.7,1,2.0,0.15,0.02,0.01,7.8,31.3,3.0,1.1,2.2,16.6,0.18,0.67,0.84,0.05,3.8,0.0005,0.6,0.0255623999904657,0.0357290721109181,0.030606018272709,0.0068650179559158,0.0035885513730144,-2.9141070596276235e-05,0.0004393781191037,-0.0017615593682052,-0.0001416799549082,0.0030978608170428,2017
797,2017-02-14,1.2,0.03,0.9,7.5,1,1.0,0.17,0.02,0.02,7.7,31.2,4.0,1.3,1.6,17.0,0.22,0.4,0.59,0.04,5.2,0.0005,0.6,0.0262087830236465,0.0368815317013535,0.037188746516053,0.0083979995884859,0.0054660183996286,0.0029506073564844,0.0040562261097367,0.0025653138099478,0.0001754117595299,0.0033228574870647,2017
798,2017-02-14,1.2,0.06,0.5,7.2,1,1.0,0.2,0.03,0.02,7.6,31.0,5.0,1.4,1.3,17.3,0.29,0.43,0.66,0.05,3.1,0.0005,0.5,0.0184149365284301,0.0268886987212243,0.0248623780568166,0.0028698776904391,0.0028132385170845,0.0034805340037556,0.0042032782551329,0.0026653323163027,-1.7918076574870573e-05,0.0031311183608503,2017
799,2017-02-14,0.2,0.02,1.0,6.1,1,1.0,0.2,0.02,0.02,7.8,31.0,2.5,1.4,4.3,17.3,0.24,0.19,0.41,0.03,4.5,0.0005,0.8,0.0310706362133217,0.042992194449563,0.0457692077953527,0.0117587536779788,0.0064570562508584,-0.0006364198163028,0.0005179823212084,-0.0009889003442614,-0.00248859297062,0.0019209148114157,2017
800,2017-02-14,0.6,0.02,0.5,7.0,1,1.0,0.08,0.01,0.01,7.9,31.1,4.0,1.1,5.7,17.6,0.11,0.68,0.77,0.03,2.4,0.0005,1.1,0.006703216833558,0.0097892366501669,0.007083740870597,-0.0032741484368643,-0.0022614135579799,0.0006544501105455,0.0007028018823911,0.0012467544361103,-0.0047609358409899,-0.0010254298877351,2017
801,2017-02-14,0.5,0.02,0.9,6.8,2,3.0,0.07,0.01,0.01,7.9,31.1,3.8,1.1,5.9,17.5,0.1,0.2,0.28,0.03,2.7,0.0005,1.1,0.013121306726944,0.019658197154374,0.0188722996412597,0.0005326811448215,0.0003543092928378,0.0028896701424399,0.0037120643686668,0.0026367712425107,-0.0031482760034985,-4.367241812158474e-05,2017
802,2017-02-14,1.2,0.01,1.3,6.7,1,1.0,0.06,0.02,0.001,7.8,31.4,3.5,1.1,1.8,16.7,0.09,0.38,0.46,0.04,3.4,0.0005,0.8,0.0228245722902381,0.034866136055048,0.0331207492416101,0.009479140756933,0.0067174458196546,0.004684811698132,0.0051847283809722,0.003853004365217,0.0017039373681885,0.0047932360344241,2017
803,2017-02-14,0.8,0.02,1.8,7.1,1,1.0,0.12,0.01,0.01,7.9,31.1,3.8,1.3,6.9,16.8,0.15,0.45,0.58,0.02,2.5,0.0005,1.7,0.00785699586509,0.012644649943889,0.0134240285946465,0.0008634069393784,0.001060327324283,0.0020659524084774,0.0024405842824999,0.0009308693041345,-0.0013385361583365,0.0026649983937347,2017
804,2017-02-14,1.1,0.01,0.6,6.9,1,1.0,0.19,0.03,0.02,7.8,31.2,2.5,1.3,7.0,17.0,0.22,0.37,0.59,0.03,6.6,0.0005,1.1,0.0373399742349038,0.0512739752900381,0.0585424673953651,0.0193463935475215,0.0106786282173877,0.0023220683045599,0.0028666740069462,0.0002602295178804,-0.0030584042535802,0.0012000299704997,2017
926,2017-08-13,0.7,0.01,1.5,6.2,27,120.0,1.2,0.28,0.05,7.8,11.8,1.8,8.4,3.2,30.5,1.49,0.16,1.64,0.08,4.2,0.0005,0.7,0.0655528405807575,0.0805222486929017,0.099231109091706,0.0638859495262127,0.0549862513128752,0.0430424250699499,0.0448201751332623,0.0452700958965926,0.0423717015558985,0.0393807653302435,2017
961,2017-08-18,1.0,0.02,1.7,5.8,1,1.0,0.001,0.001,0.02,8.2,32.6,4.5,1.3,1.3,30.7,0.03,0.51,0.51,0.04,0.3,0.0005,1.0,0.0006244169690119,0.0542704326022994,0.0556122562294056,0.0506862724214048,0.0417555329170866,0.044599979119344,0.0446093378124093,0.0445726873968181,0.0527753270736212,0.0463058565132255,2017
962,2017-08-18,1.1,0.02,1.8,6.1,1,1.0,0.001,0.001,0.01,8.2,32.7,4.3,1.0,1.4,29.9,0.02,0.38,0.38,0.03,0.3,0.0005,1.2,0.0099575202886745,0.0398115911692828,0.0386264153301756,0.0307598546889835,0.0208741738783588,0.0213836593769749,0.0240052948578283,0.0228114358156515,0.0311900806191973,0.0312467492263613,2017
963,2017-08-18,2.0,0.03,2.5,6.6,1,3.0,0.001,0.001,0.01,8.3,32.4,3.5,1.0,1.3,30.0,0.04,0.5,0.5,0.04,0.6,0.0005,1.1,0.0174541437602833,0.042515198992597,0.0468289116741989,0.0360768203293031,0.0307658897006036,0.0304778289367456,0.0309645734225055,0.027726178425553,0.0386023916912369,0.0378475673099113,2017
964,2017-08-18,1.6,0.04,1.9,5.0,1,1.0,0.001,0.001,0.02,8.2,32.6,3.5,1.8,1.9,30.6,0.04,0.36,0.36,0.13,0.3,0.0005,1.0,-0.0019482103545322,0.0275761290272501,0.0256209041801362,0.0121053564974493,0.0061845207179479,0.0058069752305307,0.0106383138591309,0.0064759818432199,0.0113448480607128,0.013753537560413,2017
965,2017-08-18,2.8,0.01,4.9,7.2,1,12.0,0.001,0.001,0.01,8.3,31.7,2.5,1.0,2.6,29.3,0.01,0.35,0.35,0.03,0.8,0.0005,1.8,0.0194037242136483,0.0429577855488001,0.0551225239656434,0.0523637869801516,0.0368124110345597,0.0372808575663064,0.0498469662052566,0.0457518982539136,0.0481286426317019,0.0475262162224303,2017
967,2017-08-18,2.9,0.07,42.0,9.9,1,9.0,0.11,0.03,0.001,8.4,27.8,2.5,0.56,4.7,28.0,0.2,0.58,0.72,0.03,1.7,0.01,2.6,0.0030184957708001,0.0228789374074458,0.0352134895907973,0.0319036143703921,0.0212256890197782,0.0231308670289201,0.0152067566162205,0.0239836510320612,0.0270697254034227,0.0308295477545337,2017
969,2017-08-18,4.8,0.07,53.0,9.4,1,1.0,0.15,0.03,0.01,8.5,26.7,2.5,0.51,6.8,28.0,0.25,0.56,0.74,0.09,2.0,0.01,3.7,0.0118770031404019,0.0329830541499866,0.0612374763026273,0.0610961445374792,0.0444493267886461,0.0379804564402673,0.0454776859102795,0.0495498172198652,0.0570958909655321,0.051514714639388,2017
1006,2017-09-12,0.4,0.06,1.8,5.9,16,39.0,0.15,0.04,0.02,7.9,31.7,3.0,1.7,2.3,27.6,0.25,0.85,1.04,0.04,1.6,0.0005,0.6,0.0345575175578458,0.0407108026531542,0.0417058595913781,0.0221167928300185,0.0180273122126837,0.0197295334886899,0.0217249060985003,0.0186940358370144,0.0215873016525923,0.021427467731458,2017
1007,2017-09-12,0.8,0.05,6.9,4.5,17,58.0,0.1,0.03,0.01,8.0,31.9,3.0,1.3,2.1,27.9,0.17,1.5,1.63,0.02,1.0,0.0005,0.7,0.0417287595358946,0.0389316083206667,0.0367247485441391,0.0131973165478487,0.0080731330889773,0.0070745479593309,0.0061813077090931,0.0034301014750293,-0.0026053504254305,0.0014744080427938,2017
1008,2017-09-12,0.4,0.1,1.2,4.6,15,85.0,0.2,0.06,0.03,7.8,30.7,3.0,2.0,2.1,27.9,0.36,0.84,1.1,0.04,1.0,0.0005,0.6,0.0385601272280716,0.0443014456249269,0.0403129488612086,0.0210740507758343,0.0168384055495462,0.0185602454783488,0.0192042488654723,0.0167037076924891,0.0181480796422236,0.0173794853697007,2017
1009,2017-09-12,0.2,0.07,0.7,4.7,60,110.0,0.17,0.05,0.03,7.8,31.8,3.0,1.7,2.6,27.1,0.28,1.0,1.22,0.06,1.9,0.0005,0.9,0.0402629106261814,0.0467788210293915,0.0446126929958406,0.0209585036326846,0.0183205898656273,0.022341787441347,0.0242518656992041,0.0216541957901406,0.0193543174850932,0.0176844754649413,2017
1010,2017-09-12,0.2,0.11,0.6,5.6,9,50.0,0.24,0.06,0.03,7.8,30.5,3.0,2.0,1.7,28.3,0.41,1.3,1.6,0.04,2.0,0.0005,0.5,0.0415739137439744,0.0464319275308183,0.0431068315711678,0.0208698306320665,0.0175234263352696,0.0197705461001779,0.0227439195754464,0.0203680830979536,0.0213835410413944,0.0178112277830639,2017
1054,2017-09-17,1.9,0.01,2.4,7.9,1,2.0,0.001,0.001,0.01,8.1,30.4,2.8,0.08,7.7,30.3,0.01,1.2,1.2,0.02,0.6,0.0005,2.6,0.0282163061229682,0.032037923475458,0.028417826672407,0.0204351008132703,0.0181558093419563,0.0190504928838233,0.02171958757902,0.0217791263944598,0.0265414749066416,0.0279192222739954,2017
1055,2017-09-17,1.8,0.01,1.7,6.5,1,1.0,0.001,0.001,0.01,8.0,30.4,2.5,0.06,9.3,30.0,0.01,1.1,1.1,0.02,6.3,0.0005,2.7,0.0267462453570863,0.0369799659899938,0.0402591738535047,0.0312691217520754,0.0225969011294753,0.0261559332107594,0.0261959989055329,0.0307108633172108,0.0355031572838061,0.0397689705754582,2017
1056,2017-09-17,1.1,0.01,2.2,7.5,1,1.0,0.001,0.001,0.001,8.1,30.8,3.6,0.05,7.8,30.2,0.01,0.98,0.98,0.02,0.4,0.0005,2.6,0.0383088955482581,0.0362532536495919,0.0298428265008187,0.0214691491885653,0.0199143527101383,0.0202383107526378,0.0222816137408852,0.0227585139981595,0.0234889371428009,0.0271578292696567,2017
1235,2017-10-12,1.6,0.04,1.2,5.5,46,90.0,0.05,0.02,0.02,7.7,31.9,2.2,1.1,4.6,29.6,0.12,0.43,0.51,0.03,2.4,0.0005,1.1,0.0402934648689148,0.04900491258848,0.0498593666335688,0.0159268602255226,0.0128684701723908,0.0138306087314061,0.0155677521253298,0.014726726235638,0.0118790881209188,0.0107113864049234,2017
1236,2017-10-12,1.3,0.04,0.8,5.6,42,110.0,0.04,0.03,0.01,7.8,32.1,1.8,1.1,3.8,29.5,0.1,0.55,0.62,0.02,2.5,0.0005,0.7,0.0447506697998175,0.0562505268980054,0.0562353958424147,0.0225634087766743,0.0200544741557108,0.0212486087035994,0.0227207698421185,0.0223563422204325,0.0183204590371625,0.0159964052349565,2017
1237,2017-10-12,1.3,0.04,0.7,5.6,35,83.0,0.06,0.03,0.01,7.8,32.1,2.4,1.1,4.1,29.5,0.12,0.44,0.52,0.02,2.5,0.0005,1.0,0.0450675919916072,0.0519428336321936,0.050944312534001,0.0164088250248844,0.0140185612062141,0.0141461317269401,0.0161953313177312,0.0157311442133885,0.0128088775442862,0.0143739499163823,2017
1238,2017-10-12,1.5,0.01,0.9,5.5,46,200.0,0.05,0.02,0.02,7.7,31.9,2.4,1.1,3.6,29.6,0.08,0.29,0.36,0.02,2.1,0.0005,0.8,0.0366391741249207,0.0491824399282735,0.0504481406326741,0.0169392582702324,0.0139427913487361,0.0153468619176606,0.0161583887882001,0.0146798155234936,0.0123930331815998,0.0119726607077608,2017
1239,2017-10-12,1.9,0.04,1.0,5.6,20,41.0,0.06,0.02,0.01,7.8,32.1,2.1,1.1,3.7,29.6,0.12,0.16,0.24,0.02,2.3,0.0005,0.9,0.0477730231470812,0.0559016903540411,0.0535496680440451,0.018951861370262,0.0167110871906913,0.0166868885336453,0.0180109843890357,0.017158161068196,0.0142052579520934,0.0133346387039704,2017
1240,2017-10-12,0.8,0.06,0.6,5.2,2,23.0,0.08,0.04,0.02,7.7,31.7,2.5,1.3,2.0,29.3,0.18,0.6,0.72,0.02,1.5,0.0005,0.8,0.0396567756421486,0.0501668166387322,0.0509292283548127,0.0158696310426805,0.0132925210624972,0.0136659115010229,0.0150690347655046,0.0151983183414312,0.0105476798116298,0.0103068331674754,2017
1241,2017-10-12,0.2,0.04,1.1,4.7,1,12.0,0.06,0.04,0.02,7.8,31.8,2.0,1.2,7.4,30.1,0.14,0.31,0.41,0.03,4.3,0.0005,1.6,0.042966802791075,0.0515126200373921,0.0537698738380311,0.014981903359914,0.0100089615346768,0.0042612947657449,0.0045307895589109,0.0034094730820232,0.0041298973612134,0.0067995102503852,2017
1242,2017-10-12,0.3,0.02,0.9,4.6,20,49.0,0.32,0.15,0.02,7.9,27.3,2.5,2.7,6.3,29.7,0.49,0.34,0.81,0.04,4.4,0.0005,1.0,0.0405970445206377,0.0578241142024309,0.0696521276459389,0.0254902774099886,0.015333813974964,0.0070065076228537,0.0085570290527523,0.0079841389672097,0.0064138965610428,0.0102267149547069,2017
1243,2017-10-12,0.2,0.03,0.6,5.8,1,1.0,0.08,0.06,0.02,7.8,31.4,2.0,1.3,4.7,29.4,0.17,0.46,0.6,0.02,3.0,0.0005,1.0,0.0420651060657818,0.0541008401844662,0.0558838430587429,0.015266435343804,0.0093380824207561,0.0051187948892322,0.0068081362033255,0.0047799965147676,0.0057037896775754,0.0085223295562082,2017
1244,2017-10-12,0.3,0.03,1.3,4.1,320,930.0,0.35,0.16,0.03,7.9,26.7,2.5,3.0,7.2,29.8,0.54,0.19,0.7,0.04,5.0,0.0005,1.0,0.0524976554292909,0.0620932572889593,0.0717148456821758,0.0262781848045094,0.0180740681378,0.0102388466852171,0.0101597108303898,0.0090419850336603,0.0062837180933316,0.0086954671991127,2017
1245,2017-10-12,0.3,0.01,0.9,4.2,49,170.0,0.63,0.33,0.04,7.8,20.6,2.5,3.8,5.4,30.2,0.97,0.13,1.09,0.06,4.1,0.0005,0.9,0.0543512862547629,0.0651341667940748,0.0802466623210955,0.0371184378185647,0.0248718356283683,0.0143900439887509,0.0160350285870828,0.0134276135148804,0.0097751664643071,0.0118828144803245,2017
1246,2017-10-12,0.7,0.02,1.2,5.8,1,1.0,0.05,0.05,0.01,7.8,32.0,2.0,1.1,5.8,29.4,0.11,0.53,0.62,0.03,3.6,0.0005,1.0,0.0530812426985746,0.065603804546787,0.0687357341465231,0.0215648784041174,0.0133909551628075,0.0059965650079423,0.0064876815621238,0.0062379046458863,0.0048282469395336,0.0078656210474117,2017
1247,2017-10-12,0.4,0.01,1.5,4.5,88,210.0,0.53,0.29,0.04,7.8,22.1,2.0,4.3,5.9,30.0,0.83,0.12,0.94,0.05,3.7,0.0005,1.0,0.0498588191973475,0.0603895027595464,0.0741217665321048,0.0324094834953096,0.0223662110796279,0.0145122451149948,0.0161662650791727,0.0136407779489408,0.0106959486799467,0.0125763482772297,2017
1248,2017-10-12,0.5,0.01,0.7,5.8,1,1.0,0.02,0.03,0.01,7.8,32.4,2.5,0.87,2.7,29.4,0.06,0.16,0.21,0.02,1.7,0.0005,0.9,0.0445746170210394,0.0542289326324099,0.0528655141296056,0.0171641976762175,0.0154834745657632,0.0138557157060077,0.0144838107241038,0.0139045645034659,0.0120647113597395,0.0113996198624666,2017
1249,2017-10-12,0.5,0.02,1.4,5.9,1,1.0,0.09,0.05,0.02,7.8,31.7,2.0,1.2,4.2,29.2,0.16,0.56,0.7,0.02,2.7,0.0005,1.0,0.0528470531672972,0.0646573634763854,0.06274318412367,0.0190781416665295,0.014444867156943,0.0098576855894586,0.0083320079254785,0.0075605793738275,0.0080130491647321,0.0093134992408386,2017
1250,2017-10-12,0.2,0.01,0.9,5.9,1,1.0,0.01,0.02,0.01,7.8,32.6,2.0,0.76,2.4,29.2,0.04,0.38,0.41,0.02,1.7,0.0005,0.7,0.0525214699196888,0.0626521011802761,0.0583517830053159,0.0204495420964533,0.0143871972998137,0.010544586394086,0.0097553697483177,0.0105785945990093,0.010032042406067,0.0117360162817668,2017
1251,2017-10-12,0.2,0.01,1.2,6.0,1,1.0,0.05,0.02,0.01,7.8,32.5,2.0,0.83,4.8,29.3,0.09,0.71,0.78,0.02,3.0,0.0005,1.0,0.0406748016456191,0.0463818031779418,0.0458703235302671,0.0158600711906498,0.0131605559221561,0.0152509149749853,0.0148372801916174,0.016206051930286,0.0131978341373768,0.012392356324651,2017
1252,2017-10-12,0.3,0.02,1.0,4.7,9,16.0,0.33,0.14,0.03,7.9,27.3,2.5,2.7,5.6,29.7,0.49,0.2,0.67,0.03,3.8,0.0005,1.1,0.0402644051535911,0.0526396954508154,0.0648572403053919,0.0205230454455527,0.0130612393194691,0.0055697841551085,0.0063604885150801,0.0057114585340302,0.0039624877757209,0.0083207766404708,2017
